col0 col1
1797.6901460126965 -0.0011132464601425567
1798.7178963373808 -0.013380298640139038
1799.7456466620652 -0.023129217198186433
1800.773396986749 -0.028722489007435435
1801.8011473114332 -0.031436958162662405
1802.8288976361173 -0.03157432639432557
1803.8566479608012 -0.030088288024237592
1804.8843982854855 -0.026515391256144417
1805.9121486101697 -0.01942050808625118
1806.9398989348538 -0.00929394787005706
1807.9676492595377 0.0018144948284438602
1808.995399584222 0.009822911721295331
1810.023149908906 0.01712178779716314
1811.0509002335903 0.024279499951806602
1812.0786505582744 0.03146663755598869
1813.106400882959 0.03576430525046746
1814.1341512076424 0.03532263098015548
1815.1619015323267 0.031717993320633624
1816.1896518570106 0.028584838780982114
1817.2174021816952 0.02956932629859271
1818.2451525063789 0.033891667401406866
1819.272902831063 0.03708434078269612
1820.300653155747 0.035021037357673306
1821.3284034804315 0.02626363946464613
1822.3561538051154 0.012700504593851624
1823.3839041297997 -0.0038318468120009845
1824.4116544544836 -0.02098697013232922
1825.439404779168 -0.03362349325247772
1826.4671551038518 -0.038437934051741965
1827.4949054285364 -0.034272016652256626
1828.52265575322 -0.022633946927594444
1829.5504060779044 -0.008025843766413441
1830.5781564025883 0.008265821067788823
1831.6059067272727 0.024412455534391732
1832.6336570519566 0.037385568086837025
1833.661407376641 0.04254724607302177
1834.6891577013248 0.037272209494805204
1835.7169080260092 0.023789190902474826
1836.744658350693 0.008125570643544947
1837.7724086753772 -0.005321421670883553
1838.8001590000613 -0.012698463248362431
1839.8279093247456 -0.01721339897999798
1840.855659649429 -0.02172797896077066
1841.8834099741139 -0.0253881075715327
1842.9111602987978 -0.0261455403194062
1843.9389106234821 -0.02282282373528201
1844.9666609481662 -0.019635355406442172
1845.9944112728501 -0.013188112548118672
1847.0221615975343 -0.007437655016891104
1848.0499119222184 -0.0026780069483811775
1849.0776622469025 0.0022680183164596906
1850.1054125715868 0.007661673015216617
1851.1331628962707 0.013271612823293675
1852.160913220955 0.018310144245493702
1853.188663545639 0.021973633910531695
1854.2164138703235 0.023319830720325573
1855.2441641950072 0.02085140839377775
1856.2719145196916 0.01444034785260888
1857.2996648443755 0.004230460417812218
1858.3274151690596 -0.007730223887311567
1859.3551654937437 -0.01903077329641073
1860.382915818428 -0.026365960237338202
